Name,Team,Number,Position,Age,Height
Avery Bradley,Boston Celtics,0,PG,25,06-Feb
Jae Crowder,Boston Celtics,99,SF,25,06-Jun
John Holland,Boston Celtics,30,SG,27,06-May
R.J. Hunter,Boston Celtics,28,SG,22,06-May
Jonas Jerebko,Boston Celtics,8,PF,29,06-Oct
Amir Johnson,Boston Celtics,90,PF,29,06-Sep
Jordan Mickey,Boston Celtics,55,PF,21,06-Aug
Kelly Olynyk,Boston Celtics,41,C,25,7-0
Terry Rozier,Boston Celtics,12,PG,22,06-Feb
Marcus Smart,Boston Celtics,36,PG,22,06-Apr
Jared Sullinger,Boston Celtics,7,C,24,06-Sep
Isaiah Thomas,Boston Celtics,4,PG,27,05-Sep
Evan Turner,Boston Celtics,11,SG,27,06-Jul
James Young,Boston Celtics,13,SG,20,06-Jun
Tyler Zeller,Boston Celtics,44,C,26,7-0
Bojan Bogdanovic,Brooklyn Nets,44,SG,27,06-Aug
Markel Brown,Brooklyn Nets,22,SG,24,06-Mar
Wayne Ellington,Brooklyn Nets,21,SG,28,06-Apr
Rondae Hollis-Jefferson,Brooklyn Nets,24,SG,21,06-Jul
Jarrett Jack,Brooklyn Nets,2,PG,32,06-Mar
